docname,topic,proportion
shorten_highTemp.txt:1573,003,1.0
shorten_highTemp.txt:1608,003,1.0
shorten_highTemp.txt:1643,003,1.0
shorten_highTemp.txt:1678,000,1.0
shorten_highTemp.txt:1713,001,1.0
shorten_highTemp.txt:1748,002,1.0
shorten_highTemp.txt:1783,002,1.0
shorten_highTemp.txt:1818,000,1.0
shorten_highTemp.txt:1853,003,1.0
shorten_highTemp.txt:1888,003,1.0
shorten_highTemp.txt:1923,002,1.0
shorten_highTemp.txt:1958,000,1.0
shorten_highTemp.txt:1993,000,1.0
shorten_highTemp.txt:2028,003,1.0
shorten_highTemp.txt:2063,006,1.0
shorten_highTemp.txt:2098,005,1.0
shorten_highTemp.txt:2133,002,1.0
shorten_highTemp.txt:2168,000,1.0
shorten_highTemp.txt:2203,006,1.0
shorten_highTemp.txt:2238,001,1.0
shorten_highTemp.txt:2273,001,1.0
shorten_highTemp.txt:2308,001,1.0
shorten_highTemp.txt:2343,002,1.0
shorten_highTemp.txt:2378,000,1.0
shorten_highTemp.txt:2413,002,1.0
shorten_highTemp.txt:2448,004,1.0
shorten_highTemp.txt:2483,001,1.0
shorten_highTemp.txt:2502,009,1.0
shorten_highTemp.txt:2537,003,1.0
shorten_highTemp.txt:2572,009,1.0
shorten_highTemp.txt:2607,000,1.0
shorten_highTemp.txt:2642,010,1.0
shorten_highTemp.txt:2677,000,1.0
shorten_highTemp.txt:2712,000,1.0
shorten_highTemp.txt:2747,001,1.0
shorten_highTemp.txt:2782,001,1.0
shorten_highTemp.txt:2817,000,1.0
shorten_highTemp.txt:2852,006,1.0
shorten_highTemp.txt:2887,001,1.0
shorten_highTemp.txt:2922,000,1.0
shorten_highTemp.txt:2957,000,0.613196
shorten_highTemp.txt:2957,001,0.386804
shorten_highTemp.txt:2992,007,1.0
shorten_highTemp.txt:3027,006,1.0
shorten_highTemp.txt:3062,002,1.0
shorten_highTemp.txt:3097,003,1.0
shorten_highTemp.txt:3132,003,1.0
shorten_highTemp.txt:3167,001,1.0
shorten_highTemp.txt:3202,003,1.0
