docname,topic,proportion
shorten_answers_tokenized.txt:4578,009,1.0
shorten_answers_tokenized.txt:4613,003,1.0
shorten_answers_tokenized.txt:4648,000,1.0
shorten_answers_tokenized.txt:4683,005,1.0
shorten_answers_tokenized.txt:4718,001,1.0
shorten_answers_tokenized.txt:4753,004,1.0
shorten_answers_tokenized.txt:4788,001,1.0
shorten_answers_tokenized.txt:4823,019,1.0
shorten_answers_tokenized.txt:4858,003,1.0
shorten_answers_tokenized.txt:4893,005,1.0
shorten_answers_tokenized.txt:4928,000,1.0
shorten_answers_tokenized.txt:4963,006,1.0
shorten_answers_tokenized.txt:4998,000,1.0
shorten_answers_tokenized.txt:5033,003,1.0
shorten_answers_tokenized.txt:5068,017,1.0
shorten_answers_tokenized.txt:5103,009,1.0
shorten_answers_tokenized.txt:5138,009,1.0
shorten_answers_tokenized.txt:5173,008,1.0
shorten_answers_tokenized.txt:5208,002,1.0
shorten_answers_tokenized.txt:5243,015,1.0
shorten_answers_tokenized.txt:5278,018,1.0
shorten_answers_tokenized.txt:5313,002,1.0
shorten_answers_tokenized.txt:5348,004,1.0
shorten_answers_tokenized.txt:5383,017,1.0
shorten_answers_tokenized.txt:5418,009,1.0
shorten_answers_tokenized.txt:5453,000,1.0
shorten_answers_tokenized.txt:5488,001,1.0
shorten_answers_tokenized.txt:5523,005,1.0
shorten_answers_tokenized.txt:5558,001,1.0
shorten_answers_tokenized.txt:5593,004,1.0
shorten_answers_tokenized.txt:5628,009,1.0
shorten_answers_tokenized.txt:5663,008,1.0
shorten_answers_tokenized.txt:5698,004,1.0
shorten_answers_tokenized.txt:5733,000,1.0
shorten_answers_tokenized.txt:5768,002,1.0
shorten_answers_tokenized.txt:5803,009,1.0
shorten_answers_tokenized.txt:5838,008,1.0
shorten_answers_tokenized.txt:5873,017,1.0
shorten_answers_tokenized.txt:5908,003,1.0
shorten_answers_tokenized.txt:5943,015,1.0
shorten_answers_tokenized.txt:5978,007,1.0
shorten_answers_tokenized.txt:6013,017,1.0
shorten_answers_tokenized.txt:6048,000,1.0
shorten_answers_tokenized.txt:6083,000,1.0
