docname,topic,proportion
pm_highTemp.txt:5058,008,1.0
pm_highTemp.txt:5,001,1.0
pm_highTemp.txt:40,007,1.0
pm_highTemp.txt:75,001,1.0
pm_highTemp.txt:110,005,1.0
pm_highTemp.txt:145,001,1.0
pm_highTemp.txt:180,005,1.0
pm_highTemp.txt:215,001,1.0
pm_highTemp.txt:250,005,1.0
pm_highTemp.txt:285,001,1.0
pm_highTemp.txt:320,000,1.0
pm_highTemp.txt:355,000,1.0
pm_highTemp.txt:390,010,1.0
pm_highTemp.txt:425,005,1.0
pm_highTemp.txt:460,000,1.0
pm_highTemp.txt:495,008,1.0
pm_highTemp.txt:530,002,1.0
pm_highTemp.txt:565,005,1.0
pm_highTemp.txt:600,008,1.0
pm_highTemp.txt:635,001,1.0
pm_highTemp.txt:670,000,0.513105
pm_highTemp.txt:670,001,0.486895
pm_highTemp.txt:705,000,1.0
pm_highTemp.txt:740,005,1.0
pm_highTemp.txt:775,010,1.0
pm_highTemp.txt:810,001,1.0
pm_highTemp.txt:845,007,1.0
pm_highTemp.txt:880,003,1.0
pm_highTemp.txt:915,000,0.513105
pm_highTemp.txt:915,001,0.486895
pm_highTemp.txt:950,007,1.0
pm_highTemp.txt:985,000,1.0
pm_highTemp.txt:1020,001,1.0
pm_highTemp.txt:1055,001,1.0
pm_highTemp.txt:1090,012,1.0
pm_highTemp.txt:1125,001,1.0
pm_highTemp.txt:1160,003,1.0
pm_highTemp.txt:1195,006,1.0
pm_highTemp.txt:1230,000,1.0
pm_highTemp.txt:1265,000,1.0
pm_highTemp.txt:1300,013,1.0
pm_highTemp.txt:1335,002,1.0
pm_highTemp.txt:1370,003,1.0
pm_highTemp.txt:1405,001,1.0
pm_highTemp.txt:1440,000,1.0
pm_highTemp.txt:1475,001,1.0
pm_highTemp.txt:1510,002,1.0
pm_highTemp.txt:1545,000,1.0
pm_highTemp.txt:1580,005,1.0
pm_highTemp.txt:1615,005,1.0
pm_highTemp.txt:1650,010,1.0
pm_highTemp.txt:1685,005,1.0
pm_highTemp.txt:1720,006,1.0
pm_highTemp.txt:1755,000,1.0
pm_highTemp.txt:1790,001,1.0
pm_highTemp.txt:1825,001,1.0
pm_highTemp.txt:1860,000,1.0
pm_highTemp.txt:1895,010,1.0
pm_highTemp.txt:1930,002,1.0
pm_highTemp.txt:1965,000,1.0
pm_highTemp.txt:2000,001,1.0
pm_highTemp.txt:2035,006,1.0
pm_highTemp.txt:2070,001,1.0
pm_highTemp.txt:2105,015,1.0
pm_highTemp.txt:2140,000,1.0
pm_highTemp.txt:2175,001,1.0
pm_highTemp.txt:2210,003,1.0
pm_highTemp.txt:2245,000,1.0
pm_highTemp.txt:2280,000,1.0
pm_highTemp.txt:2315,003,1.0
pm_highTemp.txt:2350,008,1.0
pm_highTemp.txt:2385,002,1.0
pm_highTemp.txt:2420,001,1.0
pm_highTemp.txt:2455,000,1.0
pm_highTemp.txt:2490,002,1.0
pm_highTemp.txt:2525,005,1.0
pm_highTemp.txt:2560,019,1.0
pm_highTemp.txt:2590,000,1.0
pm_highTemp.txt:2625,004,1.0
pm_highTemp.txt:2660,000,1.0
pm_highTemp.txt:2695,008,1.0
pm_highTemp.txt:2730,005,1.0
pm_highTemp.txt:2765,001,1.0
pm_highTemp.txt:2800,003,1.0
pm_highTemp.txt:2835,001,1.0
pm_highTemp.txt:2870,001,1.0
pm_highTemp.txt:2905,017,1.0
pm_highTemp.txt:2940,013,1.0
pm_highTemp.txt:2975,023,1.0
pm_highTemp.txt:3010,001,1.0
pm_highTemp.txt:3045,000,0.513105
pm_highTemp.txt:3045,001,0.486895
pm_highTemp.txt:3080,002,1.0
pm_highTemp.txt:3115,005,1.0
pm_highTemp.txt:3150,005,1.0
pm_highTemp.txt:3185,005,1.0
pm_highTemp.txt:3220,001,1.0
pm_highTemp.txt:3255,009,1.0
pm_highTemp.txt:3290,002,1.0
pm_highTemp.txt:3325,002,1.0
pm_highTemp.txt:3360,010,1.0
pm_highTemp.txt:3395,005,1.0
pm_highTemp.txt:3430,000,1.0
pm_highTemp.txt:3465,000,1.0
